memsize,h2d,pinned,time(us)
1,0,0,7.84
1,0,1,6.85
1,1,0,5.97
1,1,1,6.81
112,0,0,21.73
112,0,1,14.19
112,1,0,20.94
112,1,1,15.61
223,0,0,45.13
223,0,1,22.69
223,1,0,35.55
223,1,1,24.33
334,0,0,63.36
334,0,1,31.22
334,1,0,50.10
334,1,1,33.16
445,0,0,82.33
445,0,1,39.52
445,1,0,64.77
445,1,1,41.96
556,0,0,101.02
556,0,1,47.93
556,1,0,79.53
556,1,1,50.79
667,0,0,120.48
667,0,1,56.37
667,1,0,94.03
667,1,1,59.69
778,0,0,139.95
778,0,1,64.80
778,1,0,108.71
778,1,1,68.48
889,0,0,157.76
889,0,1,73.28
889,1,0,123.37
889,1,1,77.25
1000,0,0,176.51
1000,0,1,81.92
1000,1,0,138.07
1000,1,1,86.35
