copyPageableMemoryHostToDevice (size|time[us]):
1024 5
2048 4.33333
4096 4.33333
8192 4.66667
16384 6.33333
32768 8.33333
65536 13
131072 19.6667
262144 36.6667
524288 65.3333
1048576 126.333
2097152 211.333
4194304 393.333
8388608 734.667
16777216 1426
33554432 2791
67108864 5519.67
134217728 10977.7
268435456 21872.7
536870912 43675.3
1073741824 87293

copyPageableMemoryDeviceToHost (size|time[us]):
1024 27.3333
2048 6.66667
4096 7
8192 8
16384 9
32768 12
65536 17
131072 28.3333
262144 56.3333
524288 95.6667
1048576 185
2097152 283
4194304 491
8388608 885.333
16777216 1691.67
33554432 3345.33
67108864 6560.33
134217728 13060.7
268435456 26016.7
536870912 51920.3
1073741824 103864

copyPinnedMemoryHostToDevice (size|time[us]):
1024 7.33333
2048 6
4096 6
8192 6.66667
16384 8
32768 9.66667
65536 12
131072 17
262144 27.3333
524288 48
1048576 90
2097152 172.667
4194304 339
8388608 672
16777216 1376.33
33554432 2660
67108864 5312.33
134217728 10618.3
268435456 21228.7
536870912 42449.3
1073741824 84890.3

copyPinnedMemoryDeviceToHost (size|time[us]):
1024 6.66667
2048 6
4096 6
8192 6
16384 7
32768 8
65536 10.6667
131072 15.3333
262144 25.6667
524288 45
1048576 85
2097152 165
4194304 324
8388608 642.667
16777216 1278.67
33554432 2550
67108864 5094.33
134217728 10183
268435456 20359
536870912 40711
1073741824 81416

