copyPageableMemoryHostToDevice (size|bandwidth[GB/s]):
1024 0.232727
2048 0.487619
4096 0.890435
8192 1.51704
16384 2.56
32768 3.72364
65536 4.61521
131072 5.95782
262144 6.93503
524288 7.4052
1048576 7.71012
2097152 9.37065
4194304 10.5279
8388608 11.379
16777216 11.7851
33554432 11.9368
67108864 12.1852
134217728 12.2515
268435456 12.2663
536870912 12.3076
1073741824 12.3141

copyPageableMemoryDeviceToHost (size|bandwidth[GB/s]):
1024 0.0512
2048 0.32
4096 0.585143
8192 1.05026
16384 1.82044
32768 2.73067
65536 3.85506
131072 4.68114
262144 5.20127
524288 5.51882
1048576 5.74248
2097152 7.44727
4194304 8.62316
8388608 9.436
16777216 9.87708
33554432 10.1785
67108864 10.3041
134217728 10.3555
268435456 10.384
536870912 10.3883
1073741824 10.3967

copyPinnedMemoryHostToDevice (size|bandwidth[GB/s]):
1024 0.150588
2048 0.341333
4096 0.620606
8192 1.28
16384 2.048
32768 3.56174
65536 5.64966
131072 7.71012
262144 9.70904
524288 10.9227
1048576 11.7553
2097152 12.1223
4194304 12.3726
8388608 12.0595
16777216 12.5785
33554432 12.6135
67108864 12.6296
134217728 12.637
268435456 12.6423
536870912 12.6441
1073741824 12.6454

copyPinnedMemoryDeviceToHost (size|bandwidth[GB/s]):
1024 0.16
2048 0.341333
4096 0.660645
8192 1.36533
16384 2.34057
32768 4.096
65536 6.30154
131072 8.62316
262144 10.4025
524288 11.6508
1048576 12.3362
2097152 12.71
4194304 12.9454
8388608 13.0501
16777216 13.1174
33554432 13.1534
67108864 13.1715
134217728 13.1806
268435456 13.185
536870912 13.187
1073741824 13.1882

copyDeviceToDevice (size|bandwidth[GB/s]):
1024 0.113778
2048 0.341333
4096 0.660645
8192 1.32129
16384 2.64258
32768 4.96485
65536 10.5703
131072 20.48
262144 39.7188
524288 74.8983
1048576 145.636
2097152 255.75
4194304 203.607
8388608 218.453
16777216 240.361
33554432 253.816
67108864 260.112
134217728 263.689
268435456 265.672
536870912 266.411
1073741824 266.941

