CPU reduction O2: size=1, us=620, bw=0.0016129GB/s
CPU reduction O2: size=2, us=660, bw=0.0030303GB/s
CPU reduction O2: size=4, us=690, bw=0.0057971GB/s
CPU reduction O2: size=8, us=770, bw=0.0103896GB/s
CPU reduction O2: size=16, us=770, bw=0.0207792GB/s
CPU reduction O2: size=32, us=750, bw=0.0426667GB/s
CPU reduction O2: size=64, us=780, bw=0.0820513GB/s
CPU reduction O2: size=128, us=920, bw=0.13913GB/s
CPU reduction O2: size=256, us=1200, bw=0.213333GB/s
CPU reduction O2: size=512, us=1670, bw=0.306587GB/s
CPU reduction O2: size=1024, us=2730, bw=0.375092GB/s
CPU reduction O2: size=2048, us=5530, bw=0.370344GB/s
CPU reduction O2: size=4096, us=8870, bw=0.461781GB/s
CPU reduction O2: size=8192, us=17070, bw=0.479906GB/s
CPU reduction O2: size=16384, us=33491, bw=0.489206GB/s
CPU reduction O2: size=32768, us=66341, bw=0.493933GB/s
CPU reduction O2: size=65536, us=131872, bw=0.496967GB/s
CPU reduction O2: size=131072, us=270474, bw=0.484601GB/s
CPU reduction O2: size=262144, us=532109, bw=0.492651GB/s
CPU reduction O2: size=524288, us=1055878, bw=0.496542GB/s
CPU reduction O2: size=1048576, us=2111716, bw=0.496552GB/s
CPU reduction O2: size=2097152, us=4224812, bw=0.496389GB/s
CPU reduction O2: size=4194304, us=8035116, bw=0.521997GB/s
CPU reduction O2: size=8388608, us=10700371, bw=0.783955GB/s
CPU reduction O2: size=16777216, us=15804477, bw=1.06155GB/s
CPU reduction O2: size=33554432, us=31483014, bw=1.06579GB/s
CPU reduction O2: size=67108864, us=63670848, bw=1.054GB/s
CPU reduction O2: size=134217728, us=126556073, bw=1.06054GB/s
CPU reduction O2: size=268435456, us=253404461, bw=1.05932GB/s
CPU reduction O2: size=536870912, us=505371646, bw=1.06233GB/s
CPU reduction O2: size=1073741824, us=1017737311, bw=1.05503GB/s
CPU reduction O3: size=1, us=290, bw=0.00344828GB/s
CPU reduction O3: size=2, us=310, bw=0.00645161GB/s
CPU reduction O3: size=4, us=320, bw=0.0125GB/s
CPU reduction O3: size=8, us=460, bw=0.0173913GB/s
CPU reduction O3: size=16, us=450, bw=0.0355556GB/s
CPU reduction O3: size=32, us=700, bw=0.0457143GB/s
CPU reduction O3: size=64, us=750, bw=0.0853333GB/s
CPU reduction O3: size=128, us=930, bw=0.137634GB/s
CPU reduction O3: size=256, us=1150, bw=0.222609GB/s
CPU reduction O3: size=512, us=1660, bw=0.308434GB/s
CPU reduction O3: size=1024, us=2670, bw=0.383521GB/s
CPU reduction O3: size=2048, us=4760, bw=0.430252GB/s
CPU reduction O3: size=4096, us=8820, bw=0.464399GB/s
CPU reduction O3: size=8192, us=17040, bw=0.480751GB/s
CPU reduction O3: size=16384, us=33431, bw=0.490084GB/s
CPU reduction O3: size=32768, us=66271, bw=0.494455GB/s
CPU reduction O3: size=65536, us=131892, bw=0.496891GB/s
CPU reduction O3: size=131072, us=263114, bw=0.498157GB/s
CPU reduction O3: size=262144, us=525209, bw=0.499123GB/s
CPU reduction O3: size=524288, us=1055378, bw=0.496777GB/s
CPU reduction O3: size=1048576, us=2111676, bw=0.496561GB/s
CPU reduction O3: size=2097152, us=4228132, bw=0.496GB/s
CPU reduction O3: size=4194304, us=8468434, bw=0.495287GB/s
CPU reduction O3: size=8388608, us=10726712, bw=0.78203GB/s
CPU reduction O3: size=16777216, us=20730761, bw=0.809291GB/s
CPU reduction O3: size=33554432, us=31975721, bw=1.04937GB/s
CPU reduction O3: size=67108864, us=63501805, bw=1.0568GB/s
CPU reduction O3: size=134217728, us=127437168, bw=1.05321GB/s
CPU reduction O3: size=268435456, us=253384900, bw=1.0594GB/s
CPU reduction O3: size=536870912, us=508499210, bw=1.05579GB/s
CPU reduction O3: size=1073741824, us=1014656260, bw=1.05823GB/s
